movie,平均情感得分,评论数量,rating_num
少年派的奇幻漂流,0.8875412083261821,100,4.111111111111111
岁月神偷,0.8516676924472467,100,4.1
崖上的波妞,0.9067672671371081,100,3.8541666666666665
布达佩斯大饭店,0.8802323198838821,100,4.371134020618556
幸福终点站,0.8550160675528005,100,3.7777777777777777
幽灵公主,0.9481695670436194,100,4.1313131313131315
弱点,0.7724512510372256,100,3.72
当幸福来敲门,0.8957036258226616,100,3.6804123711340204
彗星来的那一夜,0.7728232465833342,100,3.783505154639175
心灵奇旅,0.9402088270943793,100,4.121212121212121
心灵捕手,0.8928831829975736,100,4.040816326530612
心迷宫,0.8235701671121398,100,4.11340206185567
忠犬八公物语,0.8780620168644837,100,4.05050505050505
忠犬八公的故事,0.851068453121112,100,4.555555555555555
怦然心动,0.893359118097176,100,4.18
怪兽电力公司,0.8710327870644541,100,4.303030303030303
恋恋笔记本,0.8147348771780257,100,3.393939393939394
恐怖游轮,0.7659469183566999,100,4.163265306122449
恐怖直播,0.8007090789938616,100,4.121212121212121
情书,0.8831305342942325,100,3.9696969696969697
惊魂记,0.8036316172075982,100,4.555555555555555
我不是药神,0.9103383640719985,100,4.030927835051546
我是山姆,0.8998763173869613,100,3.95
战争之王,0.8386013571198575,100,4.151515151515151
房间,0.8818741212383874,100,4.125
拯救大兵瑞恩,0.9229766261220402,100,4.111111111111111
指环王1：护戒使者,0.8625434047098811,100,4.26530612244898
指环王2：双塔奇兵,0.9157508289664268,100,4.5353535353535355
指环王3：王者无敌,0.8774782181023536,100,4.612244897959184
控方证人,0.8982096191522129,100,4.663265306122449
搏击俱乐部,0.8333232631783836,100,4.13265306122449
摔跤吧！爸爸,0.8873722010771897,100,4.144329896907217
摩登时代,0.8695453824825903,100,4.565656565656566
放牛班的春天,0.9036852661528038,100,4.515151515151516
教父,0.8927818382538374,100,3.979381443298969
教父2,0.9281585794137507,100,4.393939393939394
教父3,0.9097134411884419,100,4.090909090909091
断背山,0.7887014637900666,100,4.180851063829787
新世界,0.7314762431851902,100,4.101010101010101
新龙门客栈,0.9006188183994389,100,4.494949494949495
无人知晓,0.9366183186218346,100,4.18
无敌破坏王,0.7845311877146286,100,3.696969696969697
无耻混蛋,0.8017713579414943,100,4.13
无间道,0.8708414305852955,100,4.505050505050505
无间道2,0.8689869095309946,100,4.525773195876289
时空恋旅人,0.8684738231213882,100,3.7244897959183674
星际穿越,0.8823436233242353,100,4.294736842105263
春光乍泄,0.7102147370546306,100,4.552083333333333
未麻的部屋,0.857554444643149,100,4.469387755102041
末代皇帝,0.9110732166023682,100,4.555555555555555
末路狂花,0.8997039603317762,100,4.556701030927835
本杰明·巴顿奇事,0.8311129070559788,100,4.040816326530612
机器人之梦,0.8525725366851244,100,4.1938775510204085
机器人总动员,0.8480420833978897,100,4.4646464646464645
杀人回忆,0.8099368756104139,100,4.224489795918367
楚门的世界,0.8566861429561512,100,4.5
模仿游戏,0.9043693715252809,100,3.909090909090909
步履不停,0.9148522569556397,100,4.494949494949495
死亡诗社,0.8954100572190682,100,4.161616161616162
沉默的羔羊,0.8480304157494132,100,4.336734693877551
波西米亚狂想曲,0.8760250428389081,100,3.585858585858586
泰坦尼克号,0.8808586433620417,100,4.54
活着,0.8636919795976202,100,4.381443298969073
海上钢琴师,0.8909282809162464,100,4.030612244897959
海蒂和爷爷,0.8936654852152437,100,4.111111111111111
海街日记,0.8770724917541963,100,4.061224489795919
海豚湾,0.8121287992382856,100,4.091836734693878
海边的曼彻斯特,0.8756598503648582,100,4.091836734693878
消失的爱人,0.833193636908479,100,4.092783505154639
源代码,0.8430655822496947,100,4.112244897959184
火星救援,0.8456857286642102,100,3.90625
熔炉,0.8313378759870882,100,4.536082474226804
爆裂鼓手,0.8191926597804331,100,3.7448979591836733
爱乐之城,0.8897333145399928,100,4.02020202020202
爱在午夜降临前,0.9039447601032837,100,4.45
爱在日落黄昏时,0.8610372879491287,100,4.34020618556701
爱在黎明破晓前,0.9055118084566248,100,4.041666666666667
牯岭街少年杀人事件,0.9014604778761455,100,4.185567010309279
狩猎,0.8752659175182081,100,4.010204081632653
狮子王,0.879761938157643,100,4.082474226804123
猫鼠游戏,0.8820395563291475,100,4.13
玛丽和马克思,0.8426880064731773,100,4.515151515151516
玩具总动员3,0.8441823427156128,100,4.5625
甜蜜蜜,0.8850716311361437,100,4.385416666666667
电锯惊魂,0.6954494522096553,100,4.041237113402062
疯狂动物城,0.92231446762178,100,4.373737373737374
疯狂原始人,0.9050204190907152,100,4.02020202020202
疯狂的石头,0.7641646821101206,100,4.141414141414141
疯狂的麦克斯4：狂暴之路,0.8117783534163663,100,4.346938775510204
白日梦想家,0.8596366995687549,100,3.948453608247423
盗梦空间,0.7844199657412859,100,4.282828282828283
看不见的客人,0.87955314605845,100,3.9690721649484537
真爱至上,0.7761795254919629,100,3.350515463917526
神偷奶爸,0.70749353069125,100,3.8979591836734695
禁闭岛,0.8063330029189753,100,4.043010752688172
穿条纹睡衣的男孩,0.8802252005965481,100,4.212121212121212
窃听风暴,0.8654892694908374,100,4.515151515151516
第六感,0.8467389718938181,100,4.295918367346939
素媛,0.8263407078375431,100,4.216494845360825
红辣椒,0.8197882306846275,100,4.134020618556701
纵横四海,0.8293746648556808,100,3.7474747474747474
终结者2：审判日,0.8522912874906736,100,4.443298969072165
绿皮书,0.8947348781458351,100,3.90625
绿里奇迹,0.8415251222710427,100,3.905263157894737
罗生门,0.9104069634456274,100,4.309278350515464
罗马假日,0.9159061304944024,100,4.282828282828283
美丽人生,0.8905718098048376,100,4.37
美丽心灵,0.9135769622368187,100,4.195876288659794
美国往事,0.8649112592280852,100,3.7857142857142856
肖申克的救赎,0.8289297313650462,100,4.41
背靠背，脸对脸,0.9058216592305709,100,4.69
致命ID,0.8122160746385461,100,3.989795918367347
致命魔术,0.8819117196440309,100,4.040816326530612
色，戒,0.8843161970458343,100,4.628865979381444
芙蓉镇,0.8936606462420581,100,4.663265306122449
花束般的恋爱,0.9094830508577566,100,3.783505154639175
花样年华,0.8260041430528297,100,4.315789473684211
英雄本色,0.9090137961470295,100,4.030612244897959
茶馆,0.879229057995913,100,4.717171717171717
荒蛮故事,0.8777205353842328,100,4.191919191919192
菊次郎的夏天,0.9066759235131172,100,4.161616161616162
萤火之森,0.8398117813710217,100,3.913978494623656
萤火虫之墓,0.8621033758543274,100,2.9
虎口脱险,0.8010741768518822,100,4.092783505154639
蜘蛛侠：平行宇宙,0.8824252636200329,100,4.02
蝙蝠侠：黑暗骑士,0.8179009269917717,100,4.3232323232323235
蝙蝠侠：黑暗骑士崛起,0.7622132305664588,100,3.838709677419355
蝴蝶效应,0.8591653557759632,100,4.101010101010101
血战钢锯岭,0.9219432373078518,100,4.010204081632653
血钻,0.8230674594339304,100,4.13
被嫌弃的松子的一生,0.8490006981883773,100,4.092783505154639
