排名,电影名称,导演,主演,Unnamed: 4,Unnamed: 5,上映年份,国家/地区,类型,评分,评价人数,简介,主要国家
79,飞越疯人院 ?/?飞越杜鹃窝(台)  /  飞越喜鹊巢,导演:,,,主演: 杰克·尼科尔森 Jack Nichols...,1975,美国,['剧情'],9.1,587093,,美国
80,布达佩斯大饭店 ?/?布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),导演:,,,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,"['剧情', '喜剧', '冒险']",8.9,1044598,小清新的故事里注入了大历史的情怀。,美国
81,蝴蝶效应 ?/?蝴蝶效应,导演:,,,主...,2004,美国 加拿大,"['剧情', '悬疑', '科幻', '惊悚']",8.9,1029335,人的命运被自己瞬间的抉择改变。,美国
82,禁闭岛 ?/?不赦岛(港)  /  隔离岛(台),导演:,,,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,"['剧情', '悬疑', '惊悚']",8.9,1073962,昔日翩翩少年，今日大腹便便。,美国
83,致命魔术 ?/?死亡魔法(港)  /  顶尖对决(台),导演:,,,主演: 休·杰克曼 Hugh Jackman...,2006,英国 美国,"['剧情', '悬疑', '惊悚']",8.9,935135,孪生蝙蝠侠大战克隆金刚狼。,英国
84,心灵捕手 ?/?骄阳似我(港)  /  心灵捕手,导演:,,,主演: 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,['剧情'],9.0,789367,,美国
85,低俗小说 ?/?危险人物(港)  /  黑色追缉令(台),导演:,,,主演: 约翰·特拉沃尔塔 John Tra...,1994,美国,"['剧情', '喜剧', '犯罪']",8.9,923430,,美国
86,超脱 ?/?人间师格(台),导演:,,,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,['剧情'],9.0,692329,穷尽一生，我们要学会的，不过是彼此拥抱。,美国
87,哈利·波特与密室 ?/?哈利波特2：消失的密室(港 / 台) ,导演:,,,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,"['奇幻', '冒险']",8.9,876756,,英国
88,摩登时代 ?/?The Masses  /  Les Temps modernes,导演:,,,主演: 查理·卓别林 Charles Chaplin ...,1936,美国,"['剧情', '喜剧', '爱情']",9.3,333315,,美国
89,喜剧之王 ?/?King of Comedy,导演:,,,主演: 周星驰 Stephen Ch...,1999,中国香港,"['喜剧', '剧情', '爱情']",8.8,1057236,,中国香港
90,杀人回忆 ?/?谋杀回忆  /  杀手回忆录,导演:,,,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,"['剧情', '动作', '犯罪', '悬疑', '惊悚']",8.9,803230,,韩国
91,致命ID ?/?杀人游戏  /  致命身份,导演:,,,主演: 约翰·库萨克 John Cusack / 雷...,2003,美国,"['剧情', '悬疑', '惊悚']",8.9,912328,,美国
92,春光乍泄 ?/?一起快乐  /  Happy Together,导演:,,,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,"['剧情', '爱情', '同性']",9.0,689092,,中国香港
93,海豚湾 ?/?血色海湾(台)  /  海湾,导演:,,,主演: 路易·西霍尤斯 Louie Psihoyo...,2009,美国,['纪录片'],9.3,375518,海豚的微笑，是世界上最高明的伪装。,美国
94,一一 ?/?Yi yi  /  Yi yi: A One and a Two,导演:,,,主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,"['剧情', '爱情', '家庭']",9.1,467000,,中国台湾
95,美国往事 ?/?四海兄弟(台)  /  义薄云天(港),导演:,,,主演: 罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,"['犯罪', '剧情']",9.1,454959,,美国
96,加勒比海盗 ?/?加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),导演:,,,主演: 约翰尼·德普 Johnny Depp / ...,2003,美国,"['动作', '冒险', '奇幻']",8.8,936687,,美国
97,红辣椒 ?/?盗梦侦探(港 / 台) ,导演:,,,主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,"['动画', '悬疑', '科幻', '惊悚']",9.0,540514,梦的勾结。,日本
98,七宗罪 ?/?火线追缉令(台)  /  7宗罪,导演:,,,主演: 摩根·弗里曼 Morgan Freeman / 布...,1995,美国,"['剧情', '犯罪', '悬疑', '惊悚']",8.8,1023029,,美国
99,唐伯虎点秋香 ?/?Flirting Scholar,导演:,,,主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,"['喜剧', '爱情', '古装']",8.7,1183771,,中国香港
100,狩猎 ?/?诬网(港)  /  谎言的烙印(台),导演:,,,主演: 麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,['剧情'],9.1,447335,人言可畏。,丹麦
101,还有明天 ?/?明天还有梦(港)  /  我们还有明天(台),导演:,,,主演: 宝拉·柯特莱西 Paola Corte...,2023,意大利,"['剧情', '喜剧', '历史']",9.4,272513,,意大利
102,甜蜜蜜 ?/?Comrades: Almost a Love Story,导演:,,,主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,"['剧情', '爱情']",8.9,641316,,中国香港
103,7号房的礼物 ?/?戆爸的礼物(港)  /  7号囚房的礼物,导演:,,,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,"['剧情', '喜剧', '家庭']",8.9,605103,《我是山姆》的《美丽人生》。,韩国
104,蝙蝠侠：黑暗骑士崛起 ?/?蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),导演:,,,主演: 克里斯蒂安·贝尔 Christ...,2012,美国 英国,"['剧情', '动作', '科幻', '犯罪', '惊悚']",8.9,787811,诺兰就是保证。,美国
105,幽灵公主 ?/?魔法公主  /  幽灵少女,导演:,,,主演: 松田洋治 Y?ji Matsuda / 石田百合...,1997,日本,"['动画', '奇幻', '冒险']",8.9,614891,,日本
106,寄生虫 ?/?寄生上流(台)  /  上流寄生族(港),导演:,,,主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,['剧情'],8.8,1496762,,韩国
107,天书奇谭 ?/?天书奇谭4K纪念版  /  The Legend of Sealed Book,导演:,,,主演: 丁建华 Jianhua Din...,1983(中国大陆),2021,['中国大陆'],9.2,314972,,2021
108,超能陆战队 ?/?大英雄联盟(港)  /  大英雄天团(台),导演:,,,主演: 斯科特...,2014,美国,"['喜剧', '动作', '科幻', '动画', '冒险']",8.8,1109310,Balalala~~~,美国
109,爱在黎明破晓前 ?/?情留半天(港)  /  爱在黎明破晓时(台),导演:,,,主演: 伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,"['剧情', '爱情']",8.8,765597,,美国
110,被嫌弃的松子的一生 ?/?花样奇缘(港)  /  令人讨厌的松子的一生(台),导演:,,,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,"['剧情', '歌舞']",8.8,754459,以戏谑来戏谑戏谑。,日本
111,第六感 ?/?鬼眼(港)  /  灵异第六感(台),导演:,,,主演: 布鲁斯·威利斯 Bruce Wi...,1999,美国,"['剧情', '悬疑', '惊悚']",8.9,614376,,美国
112,爱在日落黄昏时 ?/?日落巴黎(港)  /  爱在日落巴黎时(台),导演:,,,主演: 伊桑·霍克 Ethan Hawke ...,2004,美国 法国,"['剧情', '爱情']",8.9,627018,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,美国
113,重庆森林 ?/?Chungking Express,导演:,,,主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,"['剧情', '爱情']",8.8,893073,,中国香港
114,入殓师 ?/?礼仪师之奏鸣曲(港)  /  礼仪师(台),导演:,,,主演: 本木雅弘 Masahiro Motoki / ...,2008,日本,['剧情'],8.9,727002,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,日本
